Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
616320,126536.49,0,48.05,Medium Risk (Zone 3/4)
642503,132673.0,0,48.04,Medium Risk (Zone 3/4)
642321,130354.0,0,48.04,Medium Risk (Zone 3/4)
604915,131000.0,0,48.04,Medium Risk (Zone 3/4)
642349,134171.51,0,48.04,Medium Risk (Zone 3/4)
611367,39827.875,0,48.04,Medium Risk (Zone 3/4)
609462,62476.81,0,48.04,Medium Risk (Zone 3/4)
642396,131471.32,0,48.04,Medium Risk (Zone 3/4)
623472,41744.333333333336,0,48.04,Medium Risk (Zone 3/4)
632614,50202.6,0,48.04,Medium Risk (Zone 3/4)
642456,130354.0,0,48.04,Medium Risk (Zone 3/4)
633433,136090.0,0,48.03,Medium Risk (Zone 3/4)
610957,103445.20999999999,0,48.03,Medium Risk (Zone 3/4)
642296,138268.35,0,48.03,Medium Risk (Zone 3/4)
603095,100207.5,0,48.03,Medium Risk (Zone 3/4)
619684,135597.0,0,48.03,Medium Risk (Zone 3/4)
617312,37709.484000000004,0,48.03,Medium Risk (Zone 3/4)
615432,135288.83,0,48.03,Medium Risk (Zone 3/4)
615206,34636.982,0,48.03,Medium Risk (Zone 3/4)
617118,139665.0,0,48.02,Medium Risk (Zone 3/4)
604217,52182.0,0,48.02,Medium Risk (Zone 3/4)
642521,139571.89,0,48.02,Medium Risk (Zone 3/4)
642307,139665.0,0,48.02,Medium Risk (Zone 3/4)
611585,140500.0,0,48.02,Medium Risk (Zone 3/4)
609729,65782.215,0,48.02,Medium Risk (Zone 3/4)
600157,98826.25,0,48.02,Medium Risk (Zone 3/4)
616119,54236.575,0,48.02,Medium Risk (Zone 3/4)
610629,139665.0,0,48.02,Medium Risk (Zone 3/4)
609832,59776.619999999995,0,48.01,Medium Risk (Zone 3/4)
609787,63640.685,0,48.01,Medium Risk (Zone 3/4)
616009,34008.4275,0,48.01,Medium Risk (Zone 3/4)
641914,100500.0,0,48.01,Medium Risk (Zone 3/4)
636266,151769.3,0,48.0,Medium Risk (Zone 3/4)
637330,118202.5,0,48.0,Medium Risk (Zone 3/4)
610560,37244.0025,0,47.99,Medium Risk (Zone 3/4)
604612,154965.0,0,47.99,Medium Risk (Zone 3/4)
604222,159400.0,0,47.98,Medium Risk (Zone 3/4)
626746,98448.0,0,47.98,Medium Risk (Zone 3/4)
609067,162011.4,0,47.98,Medium Risk (Zone 3/4)
607681,101443.33333333333,0,47.98,Medium Risk (Zone 3/4)
611056,110149.11499999999,0,47.98,Medium Risk (Zone 3/4)
623661,167132.0,0,47.97,Medium Risk (Zone 3/4)
641979,165200.0,0,47.97,Medium Risk (Zone 3/4)
638345,162663.17,0,47.97,Medium Risk (Zone 3/4)
611990,91620.39,0,47.97,Medium Risk (Zone 3/4)
609744,52762.46666666667,0,47.97,Medium Risk (Zone 3/4)
630680,41174.666666666664,0,47.96,Medium Risk (Zone 3/4)
612024,54450.714,0,47.96,Medium Risk (Zone 3/4)
602574,111303.0,0,47.96,Medium Risk (Zone 3/4)
610197,61545.73,0,47.96,Medium Risk (Zone 3/4)
630460,169646.42,0,47.96,Medium Risk (Zone 3/4)
642118,136200.0,0,47.95,Medium Risk (Zone 3/4)
619685,172253.0,0,47.95,Medium Risk (Zone 3/4)
602971,99162.0,0,47.95,Medium Risk (Zone 3/4)
642281,175600.0,0,47.95,Medium Risk (Zone 3/4)
615897,105400.46333333333,0,47.94,Medium Risk (Zone 3/4)
642120,180800.0,0,47.94,Medium Risk (Zone 3/4)
620677,62500.0,0,47.94,Medium Risk (Zone 3/4)
604254,181000.0,0,47.94,Medium Risk (Zone 3/4)
607600,43350.0,0,47.94,Medium Risk (Zone 3/4)
613896,49087.592000000004,0,47.94,Medium Risk (Zone 3/4)
615109,105703.1375,0,47.94,Medium Risk (Zone 3/4)
640131,177700.0,0,47.94,Medium Risk (Zone 3/4)
609294,70577.435,0,47.94,Medium Risk (Zone 3/4)
614640,114292.525,0,47.93,Medium Risk (Zone 3/4)
640951,144553.27500000002,0,47.93,Medium Risk (Zone 3/4)
641932,185100.0,0,47.93,Medium Risk (Zone 3/4)
627722,34886.666666666664,0,47.93,Medium Risk (Zone 3/4)
642202,190200.0,0,47.92,Medium Risk (Zone 3/4)
615646,189292.63,0,47.92,Medium Risk (Zone 3/4)
611120,186126.89,0,47.92,Medium Risk (Zone 3/4)
640882,189600.0,0,47.92,Medium Risk (Zone 3/4)
640502,186220.0,0,47.92,Medium Risk (Zone 3/4)
612271,189851.0,0,47.92,Medium Risk (Zone 3/4)
610844,189292.63,0,47.92,Medium Risk (Zone 3/4)
614847,120484.34,0,47.92,Medium Risk (Zone 3/4)
613680,190503.06,0,47.91,Medium Risk (Zone 3/4)
609883,97439.63,0,47.9,Medium Risk (Zone 3/4)
624380,197486.0,0,47.9,Medium Risk (Zone 3/4)
637623,199162.29,0,47.9,Medium Risk (Zone 3/4)
619298,43866.666666666664,0,47.9,Medium Risk (Zone 3/4)
624249,195437.89,0,47.9,Medium Risk (Zone 3/4)
620791,15725.0,0,47.89,Medium Risk (Zone 3/4)
611874,59939.6375,0,47.89,Medium Risk (Zone 3/4)
610436,36108.156,0,47.89,Medium Risk (Zone 3/4)
610450,200700.0,0,47.89,Medium Risk (Zone 3/4)
610387,89804.595,0,47.89,Medium Risk (Zone 3/4)
609718,84481.69333333334,0,47.89,Medium Risk (Zone 3/4)
636730,203910.0,0,47.89,Medium Risk (Zone 3/4)
622911,203538.0,0,47.89,Medium Risk (Zone 3/4)
627292,92970.0,0,47.89,Medium Risk (Zone 3/4)
629735,53002.5,0,47.89,Medium Risk (Zone 3/4)
611181,32704.895,0,47.88,Medium Risk (Zone 3/4)
637610,46493.333333333336,0,47.88,Medium Risk (Zone 3/4)
617244,204842.0,0,47.88,Medium Risk (Zone 3/4)
617740,36359.54,0,47.88,Medium Risk (Zone 3/4)
630950,36000.0,0,47.88,Medium Risk (Zone 3/4)
603451,45227.8,0,47.88,Medium Risk (Zone 3/4)
615608,210801.04,0,47.87,Medium Risk (Zone 3/4)
621407,101489.63333333335,0,47.87,Medium Risk (Zone 3/4)
614763,60831.86666666667,0,47.87,Medium Risk (Zone 3/4)
609730,211825.0,0,47.87,Medium Risk (Zone 3/4)
615726,115642.58249999999,0,47.87,Medium Risk (Zone 3/4)
603241,109866.0,0,47.87,Medium Risk (Zone 3/4)
617836,212400.0,0,47.87,Medium Risk (Zone 3/4)
627821,211080.0,0,47.87,Medium Risk (Zone 3/4)
630410,49177.3186,0,47.86,Medium Risk (Zone 3/4)
604090,217598.0,0,47.86,Medium Risk (Zone 3/4)
625606,105338.0,0,47.86,Medium Risk (Zone 3/4)
633612,70350.0,0,47.86,Medium Risk (Zone 3/4)
620927,39666.666666666664,0,47.86,Medium Risk (Zone 3/4)
609783,49976.8175,0,47.86,Medium Risk (Zone 3/4)
623660,214400.0,0,47.86,Medium Risk (Zone 3/4)
616446,95298.0725,0,47.86,Medium Risk (Zone 3/4)
609984,116480.85,0,47.86,Medium Risk (Zone 3/4)
615243,96586.10666666667,0,47.86,Medium Risk (Zone 3/4)
635880,218995.0,0,47.85,Medium Risk (Zone 3/4)
635896,222341.0,0,47.85,Medium Risk (Zone 3/4)
615238,106455.68333333333,0,47.85,Medium Risk (Zone 3/4)
617097,222160.46,0,47.85,Medium Risk (Zone 3/4)
631730,218809.0,0,47.85,Medium Risk (Zone 3/4)
634740,221416.0,0,47.85,Medium Risk (Zone 3/4)
610851,220763.81,0,47.85,Medium Risk (Zone 3/4)
633167,220000.0,0,47.85,Medium Risk (Zone 3/4)
600239,110789.0,0,47.85,Medium Risk (Zone 3/4)
605704,109637.0,0,47.84,Medium Risk (Zone 3/4)
615969,39975.333333333336,0,47.84,Medium Risk (Zone 3/4)
610883,104888.41500000001,0,47.84,Medium Risk (Zone 3/4)
612288,193063.585,0,47.84,Medium Risk (Zone 3/4)
604015,226300.0,0,47.84,Medium Risk (Zone 3/4)
631769,109636.91,0,47.84,Medium Risk (Zone 3/4)
610899,229981.7,0,47.83,Medium Risk (Zone 3/4)
615011,98603.49,0,47.83,Medium Risk (Zone 3/4)
611457,93395.5,0,47.83,Medium Risk (Zone 3/4)
640369,47814.75,0,47.83,Medium Risk (Zone 3/4)
638430,54686.25,0,47.82,Medium Risk (Zone 3/4)
603119,107400.0,0,47.82,Medium Risk (Zone 3/4)
637624,235102.75,0,47.82,Medium Risk (Zone 3/4)
616202,76350.1075,0,47.82,Medium Risk (Zone 3/4)
609606,241155.0,0,47.81,Medium Risk (Zone 3/4)
616309,50496.666666666664,0,47.81,Medium Risk (Zone 3/4)
627174,60000.0,0,47.81,Medium Risk (Zone 3/4)
641463,238065.0,0,47.81,Medium Risk (Zone 3/4)
617786,241248.0,0,47.81,Medium Risk (Zone 3/4)
611880,242086.0,0,47.8,Medium Risk (Zone 3/4)
605018,91247.8,0,47.8,Medium Risk (Zone 3/4)
616085,56703.99,0,47.8,Medium Risk (Zone 3/4)
616648,242923.99,0,47.8,Medium Risk (Zone 3/4)
620150,241992.89,0,47.8,Medium Risk (Zone 3/4)
624036,58300.0,0,47.79,Medium Risk (Zone 3/4)
625703,46700.0,0,47.79,Medium Risk (Zone 3/4)
636821,248045.04,0,47.79,Medium Risk (Zone 3/4)
622955,87320.0,0,47.79,Medium Risk (Zone 3/4)
642397,250100.0,0,47.79,Medium Risk (Zone 3/4)
641963,245903.51,0,47.79,Medium Risk (Zone 3/4)
615747,105028.08,0,47.79,Medium Risk (Zone 3/4)
615249,245903.51,0,47.79,Medium Risk (Zone 3/4)
635633,82774.702,0,47.78,Medium Risk (Zone 3/4)
640090,251397.0,0,47.78,Medium Risk (Zone 3/4)
613807,50372.51,0,47.78,Medium Risk (Zone 3/4)
613675,63563.09333333333,0,47.78,Medium Risk (Zone 3/4)
621895,39268.75,0,47.78,Medium Risk (Zone 3/4)
615837,103538.32,0,47.77,Medium Risk (Zone 3/4)
642541,258473.36,0,47.77,Medium Risk (Zone 3/4)
627043,113066.66666666667,0,47.77,Medium Risk (Zone 3/4)
617123,112011.26999999999,0,47.77,Medium Risk (Zone 3/4)
615062,101564.298,0,47.77,Medium Risk (Zone 3/4)
625820,102900.0,0,47.77,Medium Risk (Zone 3/4)
610124,100651.91,0,47.77,Medium Risk (Zone 3/4)
615758,38966.645000000004,0,47.77,Medium Risk (Zone 3/4)
618978,50050.0,0,47.77,Medium Risk (Zone 3/4)
642068,259000.0,0,47.77,Medium Risk (Zone 3/4)
615722,252141.995,0,47.77,Medium Risk (Zone 3/4)
624337,94273.975,0,47.76,Medium Risk (Zone 3/4)
615806,226474.60333333336,0,47.76,Medium Risk (Zone 3/4)
620992,46163.666666666664,0,47.76,Medium Risk (Zone 3/4)
642102,261900.0,0,47.76,Medium Risk (Zone 3/4)
610345,105726.405,0,47.76,Medium Risk (Zone 3/4)
613766,35149.025,0,47.76,Medium Risk (Zone 3/4)
637600,261359.0,0,47.76,Medium Risk (Zone 3/4)
637295,88764.83333333333,0,47.76,Medium Risk (Zone 3/4)
642421,261825.32,0,47.76,Medium Risk (Zone 3/4)
623521,226400.0,0,47.75,Medium Risk (Zone 3/4)
614487,103910.64,0,47.75,Medium Risk (Zone 3/4)
610966,115852.2075,0,47.75,Medium Risk (Zone 3/4)
603867,59607.4,0,47.74,Medium Risk (Zone 3/4)
609683,185149.275,0,47.74,Medium Risk (Zone 3/4)
639516,87732.9225,0,47.74,Medium Risk (Zone 3/4)
611912,105555.81,0,47.74,Medium Risk (Zone 3/4)
637670,79515.92333333334,0,47.74,Medium Risk (Zone 3/4)
631541,188389.0,0,47.73,Medium Risk (Zone 3/4)
642316,279330.0,0,47.72,Medium Risk (Zone 3/4)
610265,63035.369999999995,0,47.72,Medium Risk (Zone 3/4)
617969,46811.08,0,47.72,Medium Risk (Zone 3/4)
637885,85506.01666666666,0,47.72,Medium Risk (Zone 3/4)
601635,98560.0,0,47.72,Medium Risk (Zone 3/4)
605251,95600.0,0,47.72,Medium Risk (Zone 3/4)
641291,88237.24333333333,0,47.72,Medium Risk (Zone 3/4)
642127,279330.0,0,47.72,Medium Risk (Zone 3/4)
617822,93156.555,0,47.72,Medium Risk (Zone 3/4)
615080,99231.9825,0,47.71,Medium Risk (Zone 3/4)
601393,57250.0,0,47.71,Medium Risk (Zone 3/4)
614155,192598.035,0,47.71,Medium Risk (Zone 3/4)
609615,77001.97,0,47.71,Medium Risk (Zone 3/4)
601378,122285.75,0,47.71,Medium Risk (Zone 3/4)
640727,285568.37,0,47.71,Medium Risk (Zone 3/4)
632980,77033.66666666667,0,47.71,Medium Risk (Zone 3/4)
621390,35148.75,0,47.71,Medium Risk (Zone 3/4)
624682,117442.85333333333,0,47.71,Medium Risk (Zone 3/4)
620781,92800.0,0,47.71,Medium Risk (Zone 3/4)
616138,91946.5,0,47.71,Medium Risk (Zone 3/4)
623973,98440.33333333333,0,47.7,Medium Risk (Zone 3/4)
615651,32588.5,0,47.7,Medium Risk (Zone 3/4)
633819,103724.0,0,47.7,Medium Risk (Zone 3/4)
613606,290224.0,0,47.7,Medium Risk (Zone 3/4)
613735,290316.98,0,47.7,Medium Risk (Zone 3/4)
601899,95133.33333333333,0,47.7,Medium Risk (Zone 3/4)
632492,85909.0,0,47.7,Medium Risk (Zone 3/4)
637433,95753.33333333333,0,47.7,Medium Risk (Zone 3/4)
604085,241000.0,0,47.69,Medium Risk (Zone 3/4)
641402,292500.0,0,47.69,Medium Risk (Zone 3/4)
610280,107962.0,0,47.69,Medium Risk (Zone 3/4)
623861,60459.426666666666,0,47.69,Medium Risk (Zone 3/4)
642355,293296.0,0,47.69,Medium Risk (Zone 3/4)
616220,40056.008,0,47.69,Medium Risk (Zone 3/4)
636274,163082.16499999998,0,47.69,Medium Risk (Zone 3/4)
616540,50484.156,0,47.68,Medium Risk (Zone 3/4)
609824,195251.735,0,47.68,Medium Risk (Zone 3/4)
615282,76846.82833333332,0,47.68,Medium Risk (Zone 3/4)
603032,108286.93000000001,0,47.68,Medium Risk (Zone 3/4)
641518,300348.0,0,47.68,Medium Risk (Zone 3/4)
615424,55530.804000000004,0,47.67,Medium Risk (Zone 3/4)
637181,103072.76999999999,0,47.67,Medium Risk (Zone 3/4)
642009,302607.5,0,47.67,Medium Risk (Zone 3/4)
633640,103050.0,0,47.67,Medium Risk (Zone 3/4)
636973,37289.4,0,47.67,Medium Risk (Zone 3/4)
610037,63547.542499999996,0,47.67,Medium Risk (Zone 3/4)
633802,63453.29,0,47.67,Medium Risk (Zone 3/4)
613527,307263.0,0,47.66,Medium Risk (Zone 3/4)
613457,106455.8,0,47.66,Medium Risk (Zone 3/4)
627303,105043.55,0,47.66,Medium Risk (Zone 3/4)
627467,86755.0,0,47.66,Medium Risk (Zone 3/4)
615642,99782.88333333335,0,47.65,Medium Risk (Zone 3/4)
621377,312570.0,0,47.65,Medium Risk (Zone 3/4)
608440,96966.66666666667,0,47.65,Medium Risk (Zone 3/4)
636700,58752.41,0,47.65,Medium Risk (Zone 3/4)
637990,93892.75,0,47.65,Medium Risk (Zone 3/4)
638473,315189.0,0,47.65,Medium Risk (Zone 3/4)
604459,314757.0,0,47.65,Medium Risk (Zone 3/4)
630095,85400.0,0,47.64,Medium Risk (Zone 3/4)
604240,301291.5,0,47.64,Medium Risk (Zone 3/4)
618840,116666.83,0,47.64,Medium Risk (Zone 3/4)
604481,58733.333333333336,0,47.64,Medium Risk (Zone 3/4)
600249,69166.66666666667,0,47.64,Medium Risk (Zone 3/4)
609509,60149.06,0,47.64,Medium Risk (Zone 3/4)
601904,31716.666666666668,0,47.64,Medium Risk (Zone 3/4)
607207,103082.66666666667,0,47.63,Medium Risk (Zone 3/4)
635660,320500.0,0,47.63,Medium Risk (Zone 3/4)
623370,100401.75,0,47.63,Medium Risk (Zone 3/4)
616864,196974.005,0,47.63,Medium Risk (Zone 3/4)
624138,322533.0,0,47.63,Medium Risk (Zone 3/4)
613900,161475.33333333334,0,47.62,Medium Risk (Zone 3/4)
630107,326629.88,0,47.62,Medium Risk (Zone 3/4)
615604,326536.77,0,47.62,Medium Risk (Zone 3/4)
642295,327100.0,0,47.62,Medium Risk (Zone 3/4)
621172,157725.5,0,47.62,Medium Risk (Zone 3/4)
601136,194833.33333333334,0,47.61,Medium Risk (Zone 3/4)
620683,109194.7925,0,47.6,Medium Risk (Zone 3/4)
610892,114866.66666666667,0,47.6,Medium Risk (Zone 3/4)
611189,337244.42,0,47.6,Medium Risk (Zone 3/4)
611516,106630.9525,0,47.6,Medium Risk (Zone 3/4)
607683,110078.25,0,47.6,Medium Risk (Zone 3/4)
621281,109117.5,0,47.59,Medium Risk (Zone 3/4)
616008,99503.41666666667,0,47.59,Medium Risk (Zone 3/4)
637916,86133.5,0,47.59,Medium Risk (Zone 3/4)
625522,185306.25,0,47.57,Medium Risk (Zone 3/4)
622916,32937.6625,0,47.57,Medium Risk (Zone 3/4)
601190,63636.5,0,47.57,Medium Risk (Zone 3/4)
623476,312709.805,0,47.57,Medium Risk (Zone 3/4)
603236,46075.0,0,47.57,Medium Risk (Zone 3/4)
617163,53957.285,0,47.57,Medium Risk (Zone 3/4)
622200,51117.5,0,47.56,Medium Risk (Zone 3/4)
640136,156704.135,0,47.56,Medium Risk (Zone 3/4)
630360,104539.49799999999,0,47.56,Medium Risk (Zone 3/4)
620792,98006.0,0,47.56,Medium Risk (Zone 3/4)
609843,58069.60333333333,0,47.56,Medium Risk (Zone 3/4)
637900,76280.33,0,47.55,Medium Risk (Zone 3/4)
617201,61887.013333333336,0,47.55,Medium Risk (Zone 3/4)
637432,83404.66666666667,0,47.55,Medium Risk (Zone 3/4)
611695,105711.04,0,47.55,Medium Risk (Zone 3/4)
604310,97428.5,0,47.55,Medium Risk (Zone 3/4)
614304,176845.425,0,47.55,Medium Risk (Zone 3/4)
610131,56871.628000000004,0,47.55,Medium Risk (Zone 3/4)
617835,198557.075,0,47.54,Medium Risk (Zone 3/4)
633791,365829.0,0,47.54,Medium Risk (Zone 3/4)
623464,101000.0,0,47.54,Medium Risk (Zone 3/4)
613587,105074.63500000001,0,47.54,Medium Risk (Zone 3/4)
610075,63105.3025,0,47.54,Medium Risk (Zone 3/4)
617898,67970.2625,0,47.54,Medium Risk (Zone 3/4)
604140,110025.0,0,47.54,Medium Risk (Zone 3/4)
617474,91340.92199999999,0,47.54,Medium Risk (Zone 3/4)
609895,103848.68666666666,0,47.53,Medium Risk (Zone 3/4)
626742,91715.66666666667,0,47.53,Medium Risk (Zone 3/4)
615216,111638.89,0,47.53,Medium Risk (Zone 3/4)
642176,374900.0,0,47.52,Medium Risk (Zone 3/4)
604122,118714.875,0,47.52,Medium Risk (Zone 3/4)
605837,224058.0,0,47.52,Medium Risk (Zone 3/4)
607890,99953.59,0,47.52,Medium Risk (Zone 3/4)
635065,374115.98,0,47.52,Medium Risk (Zone 3/4)
641651,372440.0,0,47.52,Medium Risk (Zone 3/4)
641652,372440.0,0,47.52,Medium Risk (Zone 3/4)
608190,72875.0,0,47.51,Medium Risk (Zone 3/4)
