Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
632242,46903.25,0,0.05,Low Risk (Zone 5/6)
632365,48333.333333333336,0,0.05,Low Risk (Zone 5/6)
632560,29580.825,0,0.05,Low Risk (Zone 5/6)
632673,119000.0,0,0.05,Low Risk (Zone 5/6)
632680,39786.23333333334,0,0.05,Low Risk (Zone 5/6)
632981,76618.23333333334,0,0.05,Low Risk (Zone 5/6)
633090,133746.2,0,0.05,Low Risk (Zone 5/6)
633252,113949.0,0,0.05,Low Risk (Zone 5/6)
633414,136969.0,0,0.05,Low Risk (Zone 5/6)
633461,77853.64,0,0.05,Low Risk (Zone 5/6)
633503,128337.0,0,0.05,Low Risk (Zone 5/6)
600588,87800.0,0,0.05,Low Risk (Zone 5/6)
630543,58380.0,0,0.05,Low Risk (Zone 5/6)
630544,111647.0,0,0.05,Low Risk (Zone 5/6)
630822,123099.45,0,0.05,Low Risk (Zone 5/6)
631142,77462.0,0,0.05,Low Risk (Zone 5/6)
631161,113949.0,0,0.05,Low Risk (Zone 5/6)
631189,52802.075,0,0.05,Low Risk (Zone 5/6)
631247,71764.85,0,0.05,Low Risk (Zone 5/6)
631271,109350.0,0,0.05,Low Risk (Zone 5/6)
631434,115100.0,0,0.05,Low Risk (Zone 5/6)
631551,46385.333333333336,0,0.05,Low Risk (Zone 5/6)
631623,132710.3,0,0.05,Low Risk (Zone 5/6)
631686,126600.0,0,0.05,Low Risk (Zone 5/6)
631692,46906.0,0,0.05,Low Risk (Zone 5/6)
631749,114200.0,0,0.05,Low Risk (Zone 5/6)
631771,74699.8,0,0.05,Low Risk (Zone 5/6)
631881,75275.4,0,0.05,Low Risk (Zone 5/6)
629532,81013.25,0,0.05,Low Risk (Zone 5/6)
629584,66700.45,0,0.05,Low Risk (Zone 5/6)
629641,69950.0,0,0.05,Low Risk (Zone 5/6)
629734,73203.6,0,0.05,Low Risk (Zone 5/6)
629761,38800.0,0,0.05,Low Risk (Zone 5/6)
629812,40477.0,0,0.05,Low Risk (Zone 5/6)
629943,112377.0,0,0.05,Low Risk (Zone 5/6)
630013,108885.0,0,0.05,Low Risk (Zone 5/6)
630094,136700.0,0,0.05,Low Risk (Zone 5/6)
630420,114612.5,0,0.05,Low Risk (Zone 5/6)
630441,146455.0,0,0.05,Low Risk (Zone 5/6)
600733,125630.0,0,0.05,Low Risk (Zone 5/6)
600748,136400.0,0,0.05,Low Risk (Zone 5/6)
600749,145692.0,0,0.05,Low Risk (Zone 5/6)
600769,81600.0,0,0.05,Low Risk (Zone 5/6)
627811,48917.5,0,0.05,Low Risk (Zone 5/6)
628070,58724.0,0,0.05,Low Risk (Zone 5/6)
628651,56030.166666666664,0,0.05,Low Risk (Zone 5/6)
628714,98871.0,0,0.05,Low Risk (Zone 5/6)
628735,71966.66666666667,0,0.05,Low Risk (Zone 5/6)
628852,119358.7,0,0.05,Low Risk (Zone 5/6)
629004,74103.0,0,0.05,Low Risk (Zone 5/6)
629135,122500.0,0,0.05,Low Risk (Zone 5/6)
629218,82987.1,0,0.05,Low Risk (Zone 5/6)
629318,89049.0,0,0.05,Low Risk (Zone 5/6)
629322,104170.0,0,0.05,Low Risk (Zone 5/6)
629390,90008.2,0,0.05,Low Risk (Zone 5/6)
600900,62697.5,0,0.05,Low Risk (Zone 5/6)
600910,116153.5,0,0.05,Low Risk (Zone 5/6)
629435,138200.0,0,0.05,Low Risk (Zone 5/6)
629462,75900.0,0,0.05,Low Risk (Zone 5/6)
626612,80685.1,0,0.05,Low Risk (Zone 5/6)
626662,92080.0,0,0.05,Low Risk (Zone 5/6)
626734,129800.0,0,0.05,Low Risk (Zone 5/6)
626752,77040.66666666667,0,0.05,Low Risk (Zone 5/6)
626931,83843.5,0,0.05,Low Risk (Zone 5/6)
626963,74575.0,0,0.05,Low Risk (Zone 5/6)
627271,48100.0,0,0.05,Low Risk (Zone 5/6)
627320,126268.5,0,0.05,Low Risk (Zone 5/6)
627426,134900.0,0,0.05,Low Risk (Zone 5/6)
627515,64545.0,0,0.05,Low Risk (Zone 5/6)
627590,43300.0,0,0.05,Low Risk (Zone 5/6)
627604,29772.853000000003,0,0.05,Low Risk (Zone 5/6)
627605,39882.0,0,0.05,Low Risk (Zone 5/6)
627633,139961.0,0,0.05,Low Risk (Zone 5/6)
627697,106352.4,0,0.05,Low Risk (Zone 5/6)
627794,90008.0,0,0.05,Low Risk (Zone 5/6)
626080,74221.0,0,0.05,Low Risk (Zone 5/6)
626084,71005.81999999999,0,0.05,Low Risk (Zone 5/6)
626091,45158.25,0,0.05,Low Risk (Zone 5/6)
626352,120280.0,0,0.05,Low Risk (Zone 5/6)
626358,74268.275,0,0.05,Low Risk (Zone 5/6)
626396,81080.0,0,0.05,Low Risk (Zone 5/6)
626421,120279.5,0,0.05,Low Risk (Zone 5/6)
626460,63330.5,0,0.05,Low Risk (Zone 5/6)
626479,72858.66666666667,0,0.05,Low Risk (Zone 5/6)
626509,103647.54999999999,0,0.05,Low Risk (Zone 5/6)
626569,69060.0,0,0.05,Low Risk (Zone 5/6)
601006,96350.0,0,0.05,Low Risk (Zone 5/6)
